state_0,state_1,state_2,state_3,state_4,state_5,state_6,actions,rewards,dones
1.0,150000.0,0.0,60000.0,0.0,21291.0,1500.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,22791.0,89.0,0,60000,0
1.0,150000.0,0.0,60000.0,0.0,22880.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,10500.0,52.0,0,0,0
1.0,150000.0,0.0,60000.0,0.0,24380.0,1500.0,0,60000,0
0.0,150000.0,0.0,0.0,0.0,10552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,12052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,13552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,15052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,16552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,18052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,19552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,21052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,22552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,24052.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,25552.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,27052.0,1500.0,0,0,0
0.0,120000.0,67501.0,50000.0,67501.0,4500.0,52.0,0,50000,0
0.0,120000.0,67501.0,50000.0,135002.0,4552.0,52.0,0,50000,0
0.0,120000.0,67501.0,50000.0,202503.0,4604.0,52.0,0,50000,0
0.0,120000.0,67501.0,50000.0,270004.0,4656.0,52.0,0,50000,0
0.0,120000.0,67501.0,50000.0,337505.0,4708.0,52.0,0,50000,0
0.0,120000.0,67501.0,50000.0,405006.0,4760.0,52.0,0,50000,0
0.0,105000.0,770046.0,10000.0,405006.0,0.0,52.0,0,10000,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
1.0,120000.0,67501.0,50000.0,0.0,0.0,1500.0,0,50000,0
1.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,52.0,0,0,0
0.0,150000.0,0.0,0.0,0.0,0.0,1500.0,0,0,0
