state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,actions,rewards,dones
0.0,0.0,685344640.0,230000.0,12806800000.0,0.0,40576.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,13492145000.0,0.0,42076.0,15.0,0,230000,0
0.0,0.0,685344640.0,230000.0,14177490000.0,0.0,43576.0,15.0,0,230000,0
0.0,0.0,685344640.0,200000.0,0.0,0.0,34576.0,15.0,1,200000,0
0.0,0.0,685344640.0,200000.0,685344640.0,0.0,34576.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,1370689300.0,0.0,36076.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,2056033900.0,0.0,36128.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,2741378600.0,0.0,37628.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,3426723300.0,0.0,39128.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,1370689300.0,0.0,36076.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,2056033900.0,0.0,36128.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,2741378600.0,0.0,37628.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,3426723300.0,0.0,39128.0,16.0,0,200000,0
0.0,0.0,685344640.0,200000.0,0.0,0.0,40628.0,16.0,1,200000,0
0.0,0.0,202160850.0,60000.0,17231663000.0,0.0,35524.0,17.0,0,60000,0
0.0,0.0,202160850.0,60000.0,17433825000.0,0.0,37024.0,17.0,0,60000,0
0.0,0.0,202160850.0,60000.0,17635985000.0,0.0,37076.0,17.0,0,60000,0
0.0,0.0,248465950.0,60000.0,17884450000.0,0.0,37128.0,17.0,0,60000,0
0.0,0.0,248465950.0,60000.0,18132916000.0,0.0,38628.0,17.0,0,60000,0
0.0,0.0,202160850.0,60000.0,17433825000.0,0.0,37024.0,17.0,0,60000,0
0.0,0.0,202160850.0,60000.0,17635985000.0,0.0,37076.0,17.0,0,60000,0
0.0,0.0,248465950.0,60000.0,17884450000.0,0.0,37128.0,17.0,0,60000,0
0.0,0.0,248465950.0,60000.0,18132916000.0,0.0,38628.0,17.0,0,60000,0
0.0,0.0,248465950.0,60000.0,18381384000.0,0.0,38680.0,17.0,1,60000,0
0.0,0.0,333023140.0,110000.0,5726307300.0,0.0,21720.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6059330000.0,0.0,23220.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6392353300.0,0.0,23300.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6725376500.0,0.0,24800.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,7058399700.0,0.0,24852.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6059330000.0,0.0,23220.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6392353300.0,0.0,23300.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,6725376500.0,0.0,24800.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,7058399700.0,0.0,24852.0,18.0,0,110000,0
0.0,0.0,333023140.0,110000.0,0.0,0.0,24904.0,18.0,1,110000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,15000.0,0.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,16500.0,0.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,18000.0,0.0,0,10000,0
0.0,0.0,375972800.0,110000.0,8303777000.0,0.0,46364.0,19.0,0,110000,0
0.0,0.0,375972800.0,110000.0,8679750000.0,0.0,47864.0,19.0,0,110000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,16500.0,0.0,0,10000,0
1.0,150000.0,0.0,10000.0,0.0,0.0,18000.0,0.0,0,10000,0
0.0,0.0,375972800.0,110000.0,8303777000.0,0.0,46364.0,19.0,0,110000,0
